task_id	hash	native_id	name	status	exit	submit	start	complete	duration	realtime	cpus	time	memory	%cpu	peak_rss	peak_vmem	rchar	wchar
70	a8/73fcee	5047787.pbs	NFCORE_CUTANDRUN:CUTANDRUN:BEDTOOLS_GENOMECOV (S_1_R2)	COMPLETED	0	2022-01-26 13:22:37.536	2022-01-26 13:25:46.807	2022-01-26 13:30:33.386	7m 56s	4m 44s	6	8h	36 GB	98.7%	1.9 GB	1.9 GB	2.2 GB	963.9 MB
80	0d/3431b0	5047811.pbs	NFCORE_CUTANDRUN:CUTANDRUN:CALCULATE_FRAGMENTS:SAMTOOLS_SORT (S_1_R2)	COMPLETED	0	2022-01-26 13:29:03.999	2022-01-26 13:29:28.382	2022-01-26 13:31:23.384	2m 19s	1m 55s	6	8h	36 GB	478.4%	5.1 GB	6 GB	4.3 GB	5.1 GB
81	58/967cd9	5047817.pbs	NFCORE_CUTANDRUN:CUTANDRUN:BEDTOOLS_SORT (S_1_R2)	COMPLETED	0	2022-01-26 13:30:33.588	2022-01-26 13:31:13.399	2022-01-26 13:32:53.391	2m 20s	1m 35s	6	8h	36 GB	98.7%	11 GB	14 GB	964 MB	963.9 MB
82	a6/c6360b	5047820.pbs	NFCORE_CUTANDRUN:CUTANDRUN:CALCULATE_FRAGMENTS:BEDTOOLS_BAMTOBED (S_1_R2)	COMPLETED	0	2022-01-26 13:31:23.559	2022-01-26 13:32:03.386	2022-01-26 13:34:17.538	2m 54s	2m 11s	6	8h	36 GB	171.6%	2.8 MB	11 MB	4 GB	2.5 GB
83	f4/419d06	5047824.pbs	NFCORE_CUTANDRUN:CUTANDRUN:UCSC_BEDCLIP (S_1_R2)	COMPLETED	0	2022-01-26 13:32:53.663	2022-01-26 13:34:37.543	2022-01-26 13:34:52.558	1m 59s	17s	6	8h	36 GB	97.5%	7.6 MB	18.5 MB	964 MB	963.9 MB
85	c3/2d89bb	5047826.pbs	NFCORE_CUTANDRUN:CUTANDRUN:CALCULATE_FRAGMENTS:AWK (S_1_R2)	COMPLETED	0	2022-01-26 13:34:17.717	2022-01-26 13:34:57.662	2022-01-26 13:35:12.546	54.8s	13.5s	2	4h	12 GB	95.2%	3.9 MB	7.9 MB	1.3 GB	1.3 GB
87	41/bd71df	5047828.pbs	NFCORE_CUTANDRUN:CUTANDRUN:CALCULATE_FRAGMENTS:CUT (S_1_R2)	COMPLETED	0	2022-01-26 13:35:12.699	2022-01-26 13:35:42.542	2022-01-26 13:36:12.556	59.9s	29.9s	2	4h	12 GB	86.4%	13.6 MB	25.3 MB	2.2 GB	1.3 GB
86	db/5fbf19	5047827.pbs	NFCORE_CUTANDRUN:CUTANDRUN:UCSC_BEDGRAPHTOBIGWIG (S_1_R2)	COMPLETED	0	2022-01-26 13:34:52.724	2022-01-26 13:35:22.541	2022-01-26 13:36:22.551	1m 30s	1m 3s	6	8h	36 GB	96.7%	2.8 MB	11 MB	2.8 GB	210 MB
84	32/e17e8c	5047823.pbs	NFCORE_CUTANDRUN:CUTANDRUN:SEACR_CALLPEAK_NOIGG (S_1_R2)	COMPLETED	0	2022-01-26 13:32:53.556	2022-01-26 13:33:28.389	2022-01-26 13:36:27.549	3m 34s	2m 59s	6	8h	36 GB	105.8%	245.6 MB	16.2 GB	1.4 GB	245.1 MB
91	b4/6a484c	5047834.pbs	NFCORE_CUTANDRUN:CUTANDRUN:AWK_EDIT_PEAK_BED (S_1_R2)	COMPLETED	0	2022-01-26 13:36:27.703	2022-01-26 13:36:52.561	2022-01-26 13:36:52.564	24.9s	456ms	2	4h	12 GB	27.9%	0	0	6.9 MB	2.5 MB
90	af/da73cd	5047835.pbs	NFCORE_CUTANDRUN:CUTANDRUN:AWK_NAME_PEAK_BED (S_1_R2)	COMPLETED	0	2022-01-26 13:36:27.797	2022-01-26 13:36:52.586	2022-01-26 13:36:52.593	24.8s	460ms	2	4h	12 GB	15.9%	0	0	6.9 MB	10 MB
92	c2/92c1eb	5047836.pbs	NFCORE_CUTANDRUN:CUTANDRUN:CALCULATE_FRIP (S_1_R2)	COMPLETED	0	2022-01-26 13:36:27.878	2022-01-26 13:36:52.620	2022-01-26 13:37:17.560	49.7s	23.1s	32	3d	124 GB	2187.8%	4.7 GB	531.9 GB	52.5 GB	6.5 MB
93	1a/30dfa6	5047838.pbs	NFCORE_CUTANDRUN:CUTANDRUN:IGV_SESSION (igv)	COMPLETED	0	2022-01-26 13:36:47.222	2022-01-26 13:37:17.595	2022-01-26 13:37:17.602	30.4s	1s	2	4h	12 GB	27.8%	2.9 MB	19 MB	706.6 KB	3.1 KB
88	15/d6e910	5047833.pbs	NFCORE_CUTANDRUN:CUTANDRUN:AWK_FRAG_BIN (S_1_R2)	COMPLETED	0	2022-01-26 13:36:12.729	2022-01-26 13:36:52.547	2022-01-26 13:37:42.546	1m 30s	46.3s	2	4h	12 GB	87.0%	30.6 MB	52.2 MB	2.5 GB	2.3 GB
95	35/d1e78e	5047840.pbs	NFCORE_CUTANDRUN:CUTANDRUN:CUT_CALC_REPROD (S_1_R2)	COMPLETED	0	2022-01-26 13:36:53.414	2022-01-26 13:37:37.570	2022-01-26 13:37:42.569	49.2s	231ms	2	4h	12 GB	16.8%	3.1 MB	3.9 MB	10.1 MB	5.1 MB
97	c0/725ce1	5047841.pbs	NFCORE_CUTANDRUN:CUTANDRUN:CONSENSUS_PEAKS_ALL:SORT (S_1)	COMPLETED	0	2022-01-26 13:36:53.567	2022-01-26 13:39:22.561	2022-01-26 13:39:22.567	2m 29s	268ms	6	8h	36 GB	50.7%	15.1 MB	2 GB	15.5 MB	15.4 MB
96	b7/50c04a	5047842.pbs	NFCORE_CUTANDRUN:CUTANDRUN:CONSENSUS_PEAKS:SORT (S_1)	COMPLETED	0	2022-01-26 13:36:53.764	2022-01-26 13:40:03.801	2022-01-26 13:40:03.809	3m 10s	208ms	6	8h	36 GB	52.5%	31.1 MB	2 GB	15.5 MB	15.4 MB
